"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Persons living in acceptable housing, by tenure and other selected sociodemographic characteristics","46100072",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=4610007201",1;2;3,"CURRENT - a cube available to the public and that is current","Occasional","2018-01-01","2022-01-01","5",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Tenure",4,""
"3","Sociodemographic characteristics",,""
"4","Acceptable housing",2,""
"5","Statistics",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
23,"A couple household consists of a couple living together (married or common-law) with or without children or other related or unrelated persons. In this table, “couples without children” are households consisting of a couple only, without children or other related or unrelated persons; “couples with children” are households consisting of a couple with children only, without other related or unrelated persons; and “couples with other related or unrelated persons” are all other couple households."
24,"A one-parent household is a household with only one parent, of any gender, and with at least one child. One-parent households with other related or unrelated persons are not included."
25,"Includes households with children and additional related or unrelated persons, as well as non-couple households composed of two or more related or unrelated persons."
26,"A population centre has a population of at least 1,000 and a population density of 400 persons or more per square kilometre, based on population counts from the current Census of Population. All areas outside population centres are classified as rural areas. Taken together, population centres and rural areas cover all of Canada."
27,"“Large urban population centres” have a population of 100,000 or more."
28,"“Medium population centres” have a population between 30,000 and 99,999"
29,"“Small population centres” have a population between 1,000 and 29,999"

"Correction ID","Correction Date","Correction Note"
"3796","2024-03-18","On March 18, 2024, the data from 2018 and 2021 have been corrected in the highest certificate, diploma or degree variable (stubset) in the following categories: no certificate, diploma or degree; high (secondary) school diploma or equivalency certificate; and postsecondary certificate, diploma or degree.",

